#,survived,class,gender,age,sib_sp,par_ch,fare,embarked,family,age_bin
732,perished,third,male,11,0,0,18.7875,"Cherbourg, FR",none,< 11
853,perished,third,female,9,1,1,15.2458,"Cherbourg, FR",two,< 11
804,survived,third,male,0.42,0,1,8.5167,"Cherbourg, FR",one,< 11
692,survived,third,female,4,0,1,13.4167,"Cherbourg, FR",one,< 11
828,survived,second,male,1,0,2,37.0042,"Cherbourg, FR",two,< 11
382,survived,third,female,1,0,2,15.7417,"Cherbourg, FR",two,< 11
44,survived,second,female,3,1,2,41.5792,"Cherbourg, FR",three,< 11
470,survived,third,female,0.75,2,1,19.2583,"Cherbourg, FR",three,< 11
645,survived,third,female,0.75,2,1,19.2583,"Cherbourg, FR",three,< 11
449,survived,third,female,5,2,1,19.2583,"Cherbourg, FR",three,< 11
115,perished,third,female,17,0,0,14.4583,"Cherbourg, FR",none,11 to 20
379,perished,third,male,20,0,0,4.0125,"Cherbourg, FR",none,11 to 20
506,perished,first,male,18,1,0,108.9,"Cherbourg, FR",one,11 to 20
112,perished,third,female,14.5,1,0,14.4542,"Cherbourg, FR",one,11 to 20
703,perished,third,female,18,0,1,14.4542,"Cherbourg, FR",one,11 to 20
353,perished,third,male,15,1,1,7.2292,"Cherbourg, FR",two,11 to 20
533,perished,third,male,17,1,1,7.2292,"Cherbourg, FR",two,11 to 20
390,survived,second,female,17,0,0,12,"Cherbourg, FR",none,11 to 20
781,survived,third,female,13,0,0,7.2292,"Cherbourg, FR",none,11 to 20
876,survived,third,female,15,0,0,7.225,"Cherbourg, FR",none,11 to 20
763,survived,third,male,20,0,0,7.2292,"Cherbourg, FR",none,11 to 20
330,survived,first,female,16,0,1,57.9792,"Cherbourg, FR",one,11 to 20
308,survived,first,female,17,1,0,108.9,"Cherbourg, FR",one,11 to 20
701,survived,first,female,18,1,0,227.525,"Cherbourg, FR",one,11 to 20
292,survived,first,female,19,1,0,91.0792,"Cherbourg, FR",one,11 to 20
10,survived,second,female,14,1,0,30.0708,"Cherbourg, FR",one,11 to 20
126,survived,third,male,12,1,0,11.2417,"Cherbourg, FR",one,11 to 20
40,survived,third,female,14,1,0,11.2417,"Cherbourg, FR",one,11 to 20
831,survived,third,female,15,1,0,14.4542,"Cherbourg, FR",one,11 to 20
551,survived,first,male,17,0,2,110.8833,"Cherbourg, FR",two,11 to 20
623,survived,third,male,20,1,1,15.7417,"Cherbourg, FR",two,11 to 20
312,survived,first,female,18,2,2,262.375,"Cherbourg, FR",four,11 to 20
743,survived,first,female,21,2,2,262.375,"Cherbourg, FR",four,11 to 20
374,perished,first,male,22,0,0,135.6333,"Cherbourg, FR",none,21 to 30
140,perished,first,male,24,0,0,79.2,"Cherbourg, FR",none,21 to 30
453,perished,first,male,30,0,0,27.75,"Cherbourg, FR",none,21 to 30
136,perished,second,male,23,0,0,15.0458,"Cherbourg, FR",none,21 to 30
61,perished,third,male,22,0,0,7.2292,"Cherbourg, FR",none,21 to 30
297,perished,third,male,23.5,0,0,7.2292,"Cherbourg, FR",none,21 to 30
694,perished,third,male,25,0,0,7.225,"Cherbourg, FR",none,21 to 30
58,perished,third,male,28.5,0,0,7.2292,"Cherbourg, FR",none,21 to 30
245,perished,third,male,30,0,0,7.225,"Cherbourg, FR",none,21 to 30
799,perished,third,male,30,0,0,7.2292,"Cherbourg, FR",none,21 to 30
119,perished,first,male,24,0,1,247.5208,"Cherbourg, FR",one,21 to 30
35,perished,first,male,28,1,0,82.1708,"Cherbourg, FR",one,21 to 30
362,perished,second,male,29,1,0,27.7208,"Cherbourg, FR",one,21 to 30
309,perished,second,male,30,1,0,24,"Cherbourg, FR",one,21 to 30
74,perished,third,male,26,1,0,14.4542,"Cherbourg, FR",one,21 to 30
621,perished,third,male,27,1,0,14.4542,"Cherbourg, FR",one,21 to 30
378,perished,first,male,27,0,2,211.5,"Cherbourg, FR",two,21 to 30
818,perished,second,male,31,1,1,37.0042,"Cherbourg, FR",two,21 to 30
686,perished,second,male,25,1,2,41.5792,"Cherbourg, FR",three,21 to 30
311,survived,first,female,24,0,0,83.1583,"Cherbourg, FR",none,21 to 30
370,survived,first,female,24,0,0,69.3,"Cherbourg, FR",none,21 to 30
642,survived,first,female,24,0,0,69.3,"Cherbourg, FR",none,21 to 30
711,survived,first,female,24,0,0,49.5042,"Cherbourg, FR",none,21 to 30
890,survived,first,male,26,0,0,30,"Cherbourg, FR",none,21 to 30
682,survived,first,male,27,0,0,76.7292,"Cherbourg, FR",none,21 to 30
310,survived,first,female,30,0,0,56.9292,"Cherbourg, FR",none,21 to 30
538,survived,first,female,30,0,0,106.425,"Cherbourg, FR",none,21 to 30
843,survived,first,female,30,0,0,31,"Cherbourg, FR",none,21 to 30
474,survived,second,female,23,0,0,13.7917,"Cherbourg, FR",none,21 to 30
554,survived,third,male,22,0,0,7.225,"Cherbourg, FR",none,21 to 30
208,survived,third,male,26,0,0,18.7875,"Cherbourg, FR",none,21 to 30
456,survived,third,male,29,0,0,7.8958,"Cherbourg, FR",none,21 to 30
98,survived,first,male,23,0,1,63.3583,"Cherbourg, FR",one,21 to 30
394,survived,first,female,23,1,0,113.275,"Cherbourg, FR",one,21 to 30
371,survived,first,male,25,1,0,55.4417,"Cherbourg, FR",one,21 to 30
485,survived,first,male,25,1,0,91.0792,"Cherbourg, FR",one,21 to 30
216,survived,first,female,31,1,0,113.275,"Cherbourg, FR",one,21 to 30
867,survived,second,female,27,1,0,13.8583,"Cherbourg, FR",one,21 to 30
875,survived,second,female,28,1,0,24,"Cherbourg, FR",one,21 to 30
540,survived,first,female,22,0,2,49.5,"Cherbourg, FR",two,21 to 30
256,survived,third,female,29,0,2,15.2458,"Cherbourg, FR",two,21 to 30
609,survived,second,female,22,1,2,41.5792,"Cherbourg, FR",three,21 to 30
859,survived,third,female,24,0,3,19.2583,"Cherbourg, FR",three,21 to 30
584,perished,first,male,36,0,0,40.125,"Cherbourg, FR",none,31 to 40
31,perished,first,male,40,0,0,27.7208,"Cherbourg, FR",none,31 to 40
293,perished,second,male,36,0,0,12.875,"Cherbourg, FR",none,31 to 40
131,perished,third,male,33,0,0,7.8958,"Cherbourg, FR",none,31 to 40
286,perished,third,male,33,0,0,8.6625,"Cherbourg, FR",none,31 to 40
844,perished,third,male,34.5,0,0,6.4375,"Cherbourg, FR",none,31 to 40
848,perished,third,male,35,0,0,7.8958,"Cherbourg, FR",none,31 to 40
662,perished,third,male,40,0,0,7.225,"Cherbourg, FR",none,31 to 40
274,perished,first,male,37,0,1,29.7,"Cherbourg, FR",one,31 to 40
123,perished,second,male,32.5,1,0,30.0708,"Cherbourg, FR",one,31 to 40
219,survived,first,female,32,0,0,76.2917,"Cherbourg, FR",none,31 to 40
633,survived,first,male,32,0,0,30.5,"Cherbourg, FR",none,31 to 40
259,survived,first,female,35,0,0,512.3292,"Cherbourg, FR",none,31 to 40
605,survived,first,male,35,0,0,26.55,"Cherbourg, FR",none,31 to 40
738,survived,first,male,35,0,0,512.3292,"Cherbourg, FR",none,31 to 40
326,survived,first,female,36,0,0,135.6333,"Cherbourg, FR",none,31 to 40
717,survived,first,female,38,0,0,227.525,"Cherbourg, FR",none,31 to 40
